estrato,area,habitaciones,banos,parqueaderos,antiguedad,tipo_propiedad,tipo_operacion,latitud,longitud,localidad,barrio,precio_venta,precio_arriendo,administracion,closets,gimnasio,ascensor,piscina,conjunto_cerrado,salon_comunal,terraza,vigilancia,100_education,100_healthcare,100_retail_access,100_dining_and_entertainment,100_accommodation,100_parks_and_recreation,100_infrastructure_services,100_cultural_amenities,300_education,300_healthcare,300_retail_access,300_dining_and_entertainment,300_accommodation,300_parks_and_recreation,300_infrastructure_services,300_cultural_amenities,500_education,500_healthcare,500_retail_access,500_dining_and_entertainment,500_accommodation,500_parks_and_recreation,500_infrastructure_services,500_cultural_amenities,1000_education,1000_healthcare,1000_retail_access,1000_dining_and_entertainment,1000_accommodation,1000_parks_and_recreation,1000_infrastructure_services,1000_cultural_amenities,2000_education,2000_healthcare,2000_retail_access,2000_dining_and_entertainment,2000_accommodation,2000_parks_and_recreation,2000_infrastructure_services,2000_cultural_amenities,cadastral,commercial
3,76,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.746591885665612,-74.05757099810216,SUBA,URB. PICADELLY,339000000.0,NaN,300000.0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,5,4,0,10,2,0,2,13,40,23,0,27,12,0,15,44,168,84,0,110,34,0,58,90,435,225,2,149,86,0,2003025.0,3035999.4
3,63,3,2,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.730110594776447,-74.02816994396177,USAQUEN,BARRANCAS PERLAS DEL NORTE,223000000.0,NaN,NaN,,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,7,17,9,0,2,8,0,5,13,42,19,0,9,13,0,10,34,151,59,0,14,47,2,37,133,421,225,2,43,142,3,1589880.2222222222,2213160.0
3,54,3,2,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.607378381953671,-74.08264843007679,LOS MARTIRES,SAN VICTORINO,440898168.0,NaN,305000.0,,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,4,27,4,0,0,1,0,2,6,72,10,1,0,2,0,11,23,265,85,5,3,38,4,93,102,737,791,115,37,170,66,1454715.8,1691379.2
2,43,2,2,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.740108919910245,-74.11367534607827,SUBA,LA ESTRELLA II,158000000.0,NaN,106600.0,,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,1,6,2,0,2,0,0,3,1,9,2,0,7,2,0,8,5,71,8,0,11,21,0,28,38,198,83,0,60,96,1,1105646.0,1727753.0
3,48,3,2,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.763900015859,-74.02527996992,USAQUEN,HORIZONTES USAQUEN,222800000.0,NaN,151000.0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,14,5,0,1,1,0,5,6,37,11,0,3,2,1,12,13,84,27,0,13,10,1,32,18,119,49,0,41,20,1,831238.3333333334,1225436.4444444445
2,47,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.632697639848516,-74.19811074612754,BOSA,S.C. SAN BERNARDINO XVI,128900000.0,NaN,86500.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,1,8,0,0,1,1,0,17,3,21,4,0,6,4,0,44,10,56,18,0,20,16,0,993813.625,1462167.0
3,38,2,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.753457674995014,-74.09328837339247,SUBA,PINOS DE LOMBARDIA,190000000.0,NaN,178600.0,,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,6,1,0,1,4,0,5,4,13,13,0,2,11,0,16,20,82,62,0,9,47,1,52,47,210,84,0,27,118,1,1592565.4,2362511.0
3,37,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.7595866,-74.1009706,SUBA,URB. CAMINO VERDE,149000000.0,NaN,160000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4,19,9,0,0,15,0,11,11,44,23,0,4,34,0,30,38,180,75,0,22,91,1,955065.3333333334,1372448.0
4,51,1,2,1,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.603247280375196,-74.11873464028827,PUENTE ARANDA,CIUDAD MONTES III SECTOR,350000000.0,NaN,NaN,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,17,4,0,1,0,0,4,3,48,15,0,4,2,0,14,38,179,83,0,18,23,0,66,128,510,252,1,53,101,4,1282957.0,1775422.5714285714
2,57,2,1,0,ENTRE 10 Y 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.72130166431905,-74.13449815817512,ENGATIVA,EL GACO - EL PORVENIR (PREDIO),190000000.0,NaN,155000.0,,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,6,3,0,0,0,0,1,5,14,13,0,0,1,0,11,11,31,20,0,5,2,0,24,82,341,155,2,32,47,0,1017847.7647058824,1355004.294117647
3,63,4,2,0,ENTRE 10 Y 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.759065276141254,-74.10013165135325,SUBA,URB. CAMINO VERDE,226604237.0,NaN,98000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4,19,9,0,0,15,0,11,11,44,23,0,4,34,0,30,38,180,75,0,22,91,1,955065.3333333334,1372448.0
4,70,3,2,1,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.634183718519668,-74.09213745135507,TEUSAQUILLO,QUINTA PAREDES,480000000.0,NaN,NaN,,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,9,8,7,27,1,5,0,2,15,18,35,42,3,15,1,14,31,63,116,64,9,46,5,48,87,306,416,78,27,148,17,2042240.2857142857,2460888.8571428573
3,73,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.758119905496352,-74.03397656905331,USAQUEN,VILLAS DE ANDALUCIA,291750503.0,NaN,50000.0,,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,10,1,0,4,2,0,18,12,66,37,0,26,12,0,53,64,369,171,1,75,79,1,1556224.5,2209552.5
4,170,4,4,2,MAS DE 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.728894283743585,-74.04309951350079,USAQUEN,LOS CEDRITOS,720000000.0,NaN,500000.0,,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,9,8,8,0,2,4,0,3,21,31,24,0,4,13,0,17,57,141,91,1,12,40,0,50,186,612,362,1,68,160,4,2661809.0,3705562.6666666665
5,47,2,1,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.6825270652771,-74.0496826171875,CHAPINERO,S.C. CHICO NORTE III SECTOR,381000000.0,NaN,438000.0,,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,6,15,18,1,1,6,0,0,20,33,53,9,2,20,1,10,76,120,203,27,16,92,3,27,216,600,644,55,67,224,12,4285799.166666667,5452833.833333333
3,61,3,2,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.655312652645029,-74.15489256809185,KENNEDY,S.C. TINTALA,269000000.0,NaN,184000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,4,1,0,2,0,0,17,17,63,40,2,20,14,0,910792.0,1380485.6666666667
2,126,6,3,1,MAS DE 20 ANOS,CASA,VENTA,4.602708055053951,-74.18061359681437,BOSA,LA ESTACION,490000000.0,NaN,NaN,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,0,2,0,0,12,3,25,6,0,5,14,1,48,17,132,31,0,29,45,2,978014.8333333334,1384107.6666666667
5,86,3,2,2,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.720417591164206,-74.04405833146835,USAQUEN,EL CONTADOR,423300000.0,NaN,666700.0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,35,28,0,0,9,1,5,24,65,52,0,3,18,1,13,51,155,113,1,22,31,1,48,165,485,329,5,61,121,2,2573862.375,3185164.875
3,45,4,4,1,MAS DE 20 ANOS,CASA,VENTA,4.714515175960004,-74.12448173217516,ENGATIVA,VILLAS DE GRANADA,450000000.0,NaN,NaN,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,29,15,0,3,7,0,5,37,148,49,0,10,17,0,15,60,287,118,0,20,37,0,43,138,605,261,2,73,76,1,1490934.8333333333,2016726.3333333333
4,96,3,2,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.732393703947215,-74.03813135844456,USAQUEN,PARQUES DE LORENA,486000000.0,NaN,400000.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,2,0,4,4,6,1,0,5,2,0,7,47,97,58,0,15,55,0,63,186,623,360,1,60,178,4,2122335.0,2931176.75
3,50,2,1,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.728229319908014,-74.08785865480158,SUBA,URB. LA PALMA I,180000000.0,NaN,84600.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,0,0,2,0,8,10,59,26,0,0,2,0,27,30,132,49,0,4,31,0,48,60,276,112,0,26,93,1,1338330.5555555555,1869757.0
2,47,3,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.651838225708955,-74.16917740570511,KENNEDY,TIERRA BUENA RESERVADO II,130000000.0,NaN,78300.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,13,6,0,6,3,0,22,23,66,17,1,15,12,0,1248589.0,1981035.3333333333
4,50,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.621004698260896,-74.06859394516988,SANTA FE,SAMPER,353758000.0,NaN,220000.0,,0,0,0,1,0,0,0,0,0,7,12,0,0,4,0,3,11,36,52,3,1,13,0,9,30,71,131,9,3,33,0,37,65,207,405,27,17,111,8,127,208,761,1099,79,43,262,35,2736455.4,3767941.8
4,68,3,2,1,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.649286599748474,-74.14457170453458,KENNEDY,BOSCONIA,321200000.0,NaN,175000.0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,5,4,0,0,0,0,5,10,26,24,0,5,3,0,22,24,104,68,1,26,23,1,574629.0,765169.0
3,64,3,2,1,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.6860307,-74.09681739999999,ENGATIVA,S.C. BOYACA,305000000.0,NaN,138000.0,,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,3,16,9,0,1,5,0,5,17,65,29,1,6,13,0,19,77,311,145,7,15,48,0,60,220,830,416,11,47,136,3,1959218.0,2362532.2
2,47,3,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.651838225708955,-74.16917740570511,KENNEDY,TIERRA BUENA RESERVADO II,139000000.0,NaN,78300.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,13,6,0,6,3,0,22,23,66,17,1,15,12,0,1248589.0,1981035.3333333333
2,38,2,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.473558941907808,-74.12881830694222,USME,CIUDADELA DE USME LA ESPERANZA I ETAPA,95000000.0,NaN,40000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,1,1,1,0,2,2,0,4,1,1,1,0,3,2,3,461198.6666666667,717305.0
4,143,3,3,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.670579477739786,-74.06132655680118,BARRIOS UNIDOS,POLO CLUB - BRASILIA,615000000.0,NaN,500000.0,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,11,5,1,9,2,0,5,16,45,37,3,15,12,1,20,82,280,309,17,27,61,1,76,239,929,850,59,64,255,17,1948551.5,2431828.6666666665
3,43,2,1,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.597956033228301,-74.16014814352312,BOSA,VILLA DEL RIO II SECTOR,175400000.0,NaN,120000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,9,7,0,1,4,0,6,4,37,24,0,7,8,0,36,32,162,85,0,21,37,3,1166868.142857143,1523925.4285714286
4,89,3,2,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.731568244823768,-74.05161445083718,SUBA,LA VICTORIA NORTE,344700000.0,NaN,350000.0,,0,0,0,1,0,0,0,1,1,3,7,0,0,1,0,3,6,13,20,0,2,1,0,7,14,25,32,0,4,2,0,16,52,107,85,0,9,20,0,50,184,623,366,1,94,132,1,2484714.1666666665,3522658.6666666665
4,58,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.741003091166027,-74.05900677403149,SUBA,URB. CARIMAGUA I,317860000.0,NaN,250000.0,,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,4,17,8,0,11,3,0,1,10,29,12,0,23,7,0,4,30,100,52,0,52,20,0,50,127,435,268,2,144,95,1,1990402.25,3049627.25
2,42,3,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.55840535536293,-74.1102048432643,RAFAEL URIBE URIBE,URB. HACIENDA LOS MOLINOS,139360000.0,NaN,88000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,4,4,9,0,0,1,2,0,13,8,17,1,0,8,5,0,74,33,143,59,1,32,31,0,868283.8333333334,1345485.1666666667
3,39,1,1,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.7233541490713575,-74.05515141378746,SUBA,SAN JOSE DEL PRADO,192000000.0,NaN,224000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,23,20,0,0,1,0,5,20,66,51,0,0,2,0,15,39,204,114,0,7,11,0,45,159,521,347,0,48,90,1,1796832.375,2530043.625
4,89,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.659009548740796,-74.11952905546224,FONTIBON,LA ESPERANZA_,550000000.0,NaN,330000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,6,1,0,2,0,0,10,29,85,71,0,11,22,0,30,74,251,226,18,32,100,4,1672322.5,2369750.25
2,52,3,2,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.616298181698552,-74.18606068688307,BOSA,S C LA PAZ BOSA,158690000.0,NaN,NaN,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,3,0,0,1,4,1,15,2,21,2,0,7,8,1,63,31,195,58,0,34,43,1,742280.8,1049055.8
3,63,2,2,1,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.613375534377133,-74.13161160685718,KENNEDY,SANTA ROSA DEL CARVAJAL,353800000.0,NaN,329000.0,,0,0,0,1,0,0,0,0,1,4,3,0,1,2,0,0,2,12,12,0,2,2,0,0,11,37,43,1,3,8,0,9,31,143,132,4,10,32,0,69,139,555,344,5,31,95,2,1645411.5,2419806.25
2,42,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.643038,-74.18993189999999,BOSA,S.C PARCELA EL PORVENIR,117000000.0,NaN,90000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,1,2,0,0,2,2,0,11,2,20,7,0,8,9,0,36,11,57,25,0,19,15,0,764528.2,1120584.0
3,42,2,1,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.597956033228301,-74.16014814352312,BOSA,VILLA DEL RIO II SECTOR,195350000.0,NaN,117000.0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,9,7,0,1,4,0,6,4,37,24,0,7,8,0,36,32,162,85,0,21,37,3,1166868.142857143,1523925.4285714286
2,45,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.625974191229276,-74.20445315736167,BOSA,LA PRADERA EL VOLCAN,128100000.0,NaN,54000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,3,0,2,2,0,3,0,0,11,1,12,4,0,5,4,0,43,13,87,24,1,26,16,1,0.0,0.0
2,36,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.638569299999999,-74.1857734,BOSA,S.C PARCELA EL PORVENIR,118500000.0,NaN,50000.0,,0,0,0,1,0,0,0,0,0,2,3,0,1,1,0,2,1,5,6,0,5,5,0,7,2,12,7,0,6,5,0,13,4,24,11,0,10,10,0,44,17,103,36,0,23,20,0,692713.2,951895.6
4,69,3,2,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.742106564855095,-74.0821760366323,SUBA,S.C. SUBA URBANO,270000000.0,NaN,370000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3,7,3,0,1,6,0,16,9,41,15,1,2,17,0,52,41,161,79,1,27,73,1,386453.5,444281.0
1,57,3,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.634299251352016,-74.17689609402005,KENNEDY,LAS MARGARITAS OCCIDENTAL,170500000.0,NaN,150000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,4,21,7,0,1,1,0,13,7,54,20,0,8,5,0,50,44,174,58,1,32,36,0,1011805.75,1508831.75
2,40,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.598348095950164,-74.1413386380256,KENNEDY,RINCON DE SAN ANDRES,231800000.0,NaN,110000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,8,0,0,1,0,1,5,14,12,0,0,3,0,13,35,225,87,0,3,27,1,51,100,506,252,4,24,88,3,946783.4,1215676.0
3,45,2,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.5825241532754974,-74.08107679437866,SAN CRISTOBAL,EL ALTO DE LAS BRISAS,181333333.0,NaN,112000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,4,1,2,3,0,3,0,0,13,15,40,26,0,13,8,1,89,83,257,225,31,30,50,35,978775.8,1508014.8
2,68,4,2,0,MAS DE 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.6499540854804255,-74.15995879855988,KENNEDY,TINTALA,213696256.0,NaN,125000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,10,2,8,6,0,7,2,0,25,36,102,40,1,16,17,0,867358.25,1292678.0
3,44,2,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.6353072,-74.1909903,BOSA,S.C. EL CORZO,127069414.0,NaN,79000.0,,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,6,1,0,2,1,0,5,1,11,2,0,3,3,0,20,5,30,9,0,13,10,0,45,15,89,33,0,23,20,0,1051023.5555555555,1572274.2222222222
3,70,3,2,1,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.640112107181392,-74.06977874786362,TEUSAQUILLO,BANCO CENTRAL,527400000.0,NaN,624000.0,,0,0,0,1,0,1,0,1,3,27,10,0,0,3,0,3,12,123,47,5,0,8,0,8,30,229,156,8,3,27,0,40,149,624,627,41,10,119,5,141,302,1178,1441,107,51,307,26,1976316.8,2456534.6
3,29,1,1,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.6445082,-74.0637242,CHAPINERO,S.C. CHAPINERO CENTRAL,198411512.0,NaN,150000.0,,0,0,0,1,0,0,0,0,0,29,13,1,0,3,0,3,18,151,94,6,1,18,0,8,29,241,187,15,2,34,1,35,108,591,502,50,7,114,2,125,288,1180,1376,96,35,288,18,2676236.0,3478750.2
4,78,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.661843053804604,-74.13638877790626,FONTIBON,URB. PRADO GRANDE,398000000.0,NaN,295200.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,3,0,2,10,38,20,3,7,19,0,37,57,220,126,12,24,70,3,1130916.5,1310880.5
2,45,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.6435312,-74.1883641,BOSA,S.C PARCELA EL PORVENIR,131500000.0,NaN,68800.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,7,2,18,7,0,9,9,0,32,10,64,25,0,20,17,0,674562.5,991232.75
4,95,3,2,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.72341664961499,-74.07411895744323,SUBA,S.C. CIUDAD JARDIN NORTE,508067531.0,NaN,576000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,1,0,1,2,22,9,0,2,3,0,8,23,115,55,0,7,18,0,38,88,371,175,1,18,66,1,3144377.0,3984895.3333333335
2,47,2,1,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.706130011336,-74.137060024839,ENGATIVA,S.C. VILLA GLADYS,141000000.0,NaN,80000.0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,2,4,19,9,0,1,2,0,6,23,121,57,1,10,20,0,26,86,403,161,4,31,57,1,841431.0,1137764.2
4,60,2,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.719840789474112,-74.03549026069881,USAQUEN,CEDRITOS,457150148.0,NaN,300000.0,,0,0,0,1,0,0,0,0,2,5,1,0,0,3,0,0,5,21,11,0,2,7,0,2,12,37,33,1,2,16,1,7,31,115,84,1,17,54,1,35,117,342,214,7,65,121,4,2356275.25,3190641.0
3,47,3,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.5947232,-74.1695062,CIUDAD BOLIVAR,S.C. GALICIA,175378977.0,NaN,75000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,1,5,4,0,1,4,0,10,4,19,6,0,7,8,1,36,14,102,38,0,19,31,2,1060311.6666666667,1496502.0
3,63,3,2,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.668839921922773,-74.13556329008078,FONTIBON,URB. CAPELLANIA,255000000.0,NaN,188700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,3,2,0,3,2,0,7,15,41,24,5,8,24,0,47,60,234,151,16,33,85,2,1757236.75,2707871.5
